hostname,product_name,purpose,owner,repository,branch,deployment_platform,cloudflare_resource,dns_type,production_url,staging_url,database,storage,auth_model,privacy_controller,analytics_property,legal_entity,status,last_audited_sha,deployed_release_id,rollback_target,retirement_plan
app.omdalat.com,Om Dalat App,App shell + nav + consent center (TBD),Tran Ha Tam,UNKNOWN,UNKNOWN,Cloudflare Pages,omdalat-app (in Tranhatam66@gmail.com account — DIFFERENT account),CNAME,https://app.omdalat.com,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Tran Ha Tam,LIVE_LIMITED,unknown,unknown,unknown,HOSTED IN DIFFERENT CF ACCOUNT — RECONCILE OWNERSHIP
www.app.omdalat.com,App WWW,App alias,Tran Ha Tam,UNKNOWN,UNKNOWN,Cloudflare Pages,omdalat-app,CNAME,https://www.app.omdalat.com,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Tran Ha Tam,LIVE_LIMITED,unknown,unknown,unknown,CONSOLIDATE WITH app.omdalat.com
www.cham.omdalat.com,Chạm WWW,Chạm alias,Tran Ha Tam,UNKNOWN,UNKNOWN,Cloudflare Pages,cham-omdalat-com,CNAME,https://www.cham.omdalat.com,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Tran Ha Tam,LIVE_LIMITED,unknown,unknown,unknown,CONSOLIDATE WITH cham.omdalat.com
vuonhong3.omdalat.com,(orphan),Orphaned Worker route — no DNS,Tran Ha Tam,github.com/tranhatam/omdalat.com,UNKNOWN,Cloudflare Workers,omdalat-brand-renderer (NON-PRODUCTION),NONE,https://vuonhong3.omdalat.com (DNS NXDOMAIN),none,n/a,n/a,n/a,n/a,n/a,n/a,ORPHANED,n/a,n/a,n/a,DELETE ROUTE — DNS DOES NOT RESOLVE
em563.omdalat.com,SendGrid Email,SendGrid email sending CNAME (em563),Tran Ha Tam,n/a,n/a,SendGrid,u97614395.wl146.sendgrid.net,CNAME,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tran Ha Tam,LIVE,n/a,n/a,n/a,KEEP — email infra
omdalat.com/support*,Support Overlay,Legacy support overlay (May 2026),Tran Ha Tam,UNKNOWN,UNKNOWN,Cloudflare Workers,omdalat-support-overlay,Worker route,https://omdalat.com/support,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Tran Ha Tam,LEGACY,unknown,unknown,unknown,REVIEW — REMOVE OR MIGRATE
www.omdalat.com/support*,Support Overlay WWW,Legacy support overlay on www,Tran Ha Tam,UNKNOWN,UNKNOWN,Cloudflare Workers,omdalat-support-overlay,Worker route,https://www.omdalat.com/support,none,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Tran Ha Tam,LEGACY,unknown,unknown,unknown,REVIEW — REMOVE OR MIGRATE
s1._domainkey.omdalat.com,DKIM1,SendGrid DKIM signing key 1,Tran Ha Tam,n/a,n/a,SendGrid,s1.domainkey.u97614395.wl146.sendgrid.net,CNAME,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tran Ha Tam,LIVE,n/a,n/a,n/a,KEEP — email infra
s2._domainkey.omdalat.com,DKIM2,SendGrid DKIM signing key 2,Tran Ha Tam,n/a,n/a,SendGrid,s2.domainkey.u97614395.wl146.sendgrid.net,CNAME,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tran Ha Tam,LIVE,n/a,n/a,n/a,KEEP — email infra
dkim._domainkey.omdalat.com,DKIM self,Self-hosted DKIM key,Tran Ha Tam,n/a,n/a,Self-hosted mail,DKIM TXT,TXT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tran Ha Tam,LIVE,n/a,n/a,n/a,REVIEW — DUPLICATE WITH SENDGRID DKIM
_dmarc.omdalat.com,DMARC,DMARC policy (p=quarantine),Tran Ha Tam,n/a,n/a,Self-hosted,TXT,TXT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Tran Ha Tam,LIVE,n/a,n/a,n/a,REVIEW — UPGRADE TO p=reject AFTER DKIM VERIFIED
